tic_id,ra,dec,logg,teff,tmag,lumclass,sectors
341705353,192.681284729668,71.4696721713077,3.35401,6945.0,8.417,DWARF,40
51904828,48.0293080499362,85.862992622179,3.32653,5818.0,10.3467,DWARF,40
264306713,321.721581092492,79.3090526105134,3.35538,6894.0,9.0575,DWARF,60
353304732,93.9797520877348,41.0533525209108,3.45329,6940.0,10.2403,DWARF,60
