time,flux_flat,trend
3690.1581176094337,1.0,1.0110620260238647
3690.160432442886,0.9969016918545198,1.0110620260238647
3690.162747276338,0.9999938689389007,1.0110620260238647
3690.165062109791,0.9908890073965357,1.0110620260238647
3690.167376943244,0.997282996692882,1.0110620260238647
3690.169691776697,0.9922529326810671,1.0110620260238647
3690.1720066101184,0.9986287646041581,1.0110620260238647
3690.1743214435273,0.9875009476616075,1.0110620260238647
3690.176636276936,0.991175988217987,1.0110620260238647
3690.1789511103448,0.9996412150206753,1.0110620260238647
3690.1812659437537,0.9845915233599912,1.0110620260238647
3690.183580777162,1.0012242078344822,1.0110620260238647
3690.18589561057,0.9938793145426529,1.0110620260238647
3690.1882104439787,1.002255051434297,1.0110620260238647
3690.1905252773877,0.9819920713589485,1.0110620260238647
3690.192840110796,0.9978130976679213,1.0110620260238647
3690.195154944205,0.9878237126569743,1.0110620260238647
3690.197469777613,1.0022944317113571,1.0110620260238647
3690.199784611022,0.9915963196183462,1.0110620260238647
3690.2020994444306,0.9964453994227135,1.0110620260238647
3690.2044142778404,0.9986640182054785,1.0110620260238647
3690.206729111247,1.004463530385244,1.0110620260238647
3690.209043944657,0.98963544121179,1.0110620260238647
3690.2113587780646,0.9931643384944684,1.0110620260238647
3690.2136736114494,0.9959562114900093,1.0110620260238647
3690.2159884448224,0.9825982210726221,1.0110620260238647
3690.2183032781963,0.9820769629741684,1.0110620260238647
3690.22061811157,0.991137669086117,1.0110620260238647
3690.2229329449447,0.9926898886894067,1.0110620260238647
3690.22524777832,0.9971534190746507,1.0110620260238647
3690.2275626116907,0.9840625424826529,1.0110620260238647
3690.2298774450655,0.9857778836826879,1.0110620260238647
3690.232192278438,0.9986598915297387,1.0110620260238647
3690.2345071118134,0.9776592976421472,1.0110620260238647
3690.236821945186,0.9967420484558982,1.0110620260238647
3690.239136778561,0.9904555885388302,1.0110620260238647
3690.2414516119334,1.006489728173511,1.0110620260238647
3690.2437664453087,0.9960940424597204,1.0110620260238647
3690.2460812786812,1.0000482231536456,1.0110620260238647
3690.248396112056,0.9944307563265181,1.0110620260238647
3690.250710945429,0.9963418788141537,1.0110620260238647
3690.253025778803,0.9916801500883757,1.0110620260238647
3690.2553406121588,0.9881231914106664,1.0110620260238647
3690.2576554455054,0.9817506018756567,1.0110620260238647
3690.259970278855,0.9938474801869455,1.0110620260238647
3690.262285112202,1.0112938861648244,1.0110620260238647
3690.264599945551,1.0066780224922693,1.0110620260238647
3690.266914778898,1.003262431934905,1.0110620260238647
3690.269229612247,0.9961485145794864,1.0110620260238647
3690.271544445594,1.0019523892450342,1.0110620260238647
3690.2738592789424,0.9982321321130478,1.0110620260238647
3690.27617411229,0.9944589356265703,1.0110620260238647
3690.2784889456384,1.000345461711936,1.0110620260238647
3690.2808037789864,1.0029183850832226,1.0110620260238647
3690.2831186123344,1.0065690782527372,1.0110620260238647
3690.285433445683,1.0025561808582848,1.0110620260238647
3690.287748279031,0.9879521701775048,1.0110620260238647
3690.29006311238,1.0036590644260153,1.0110620260238647
3690.292377945727,1.0081811936067653,1.0110620260238647
3690.2946927790745,1.0061496900925473,1.0110620260238647
3690.2970076124107,0.9951623569826832,1.0110620260238647
3690.299322445741,0.9930680100921981,1.0110620260238647
3690.301637279073,0.9693459325066855,1.0110620260238647
