time,flux
1491.6604101031635,1.0128479
1491.681243907015,1.0142697
1491.7020777110477,1.0096475
1491.7229115151547,1.0109774
1491.7437453193286,1.0084798
1491.7645791234668,1.0079355
1491.785412927575,0.99899375
1491.8062467315528,1.0011022
1491.827080535416,1.0009172
1491.8479143390648,0.9990361
1491.868748142524,1.0031936
1491.8895819456975,0.9981794
1491.9104157486174,0.9939508
1491.9312495511874,0.9931789
1491.9520833534457,0.9964569
1491.9729171552995,0.99883026
1491.993750956793,0.9924653
1492.0145847578335,0.992867
1492.0354185584677,0.99395335
1492.0562523586061,1.0000057
1492.0770861583017,0.99057686
1492.097919957464,0.9918553
1492.1187537561461,0.9945003
1492.1395875542648,0.9965091
1492.1604213518729,0.99122435
1492.181255148887,0.9886724
1492.2020889453645,0.99367696
1492.2229227412224,0.9928785
1492.2437565365217,0.9935679
1492.2645903311768,0.98862684
1492.285424125252,0.99069613
1492.3062579186637,0.9896809
1492.3270917114767,0.99500984
1492.3479255036095,0.99621356
1492.3687592951264,0.9886488
1492.3895930859458,0.9938949
1492.410426876136,0.99312395
1492.4312606656151,0.990101
1492.4520944544524,0.9902514
1492.4729282425644,0.98952127
1492.4937620300238,0.99125165
1492.5145958167466,0.98661757
1492.5354296028056,0.99027926
1492.5562633881193,0.9904824
1492.57709717276,0.98906296
1492.5979309566471,0.9880849
1492.6187647398528,0.9877429
1492.6395985222962,0.9927021
1492.6604323040515,0.98888445
1492.6812660850383,0.99018914
1492.7020998653302,0.9879606
1492.7229336448463,0.99754137
1492.7437674236626,0.99021447
1492.7646012016978,0.9966753
1492.785434979029,0.9874879
1492.8062687555735,0.9910336
1492.8271025314084,0.9871517
1492.847936306453,0.991325
1492.8687700807843,0.9955854
1492.8896038543223,0.99232185
1492.910437627143,0.99180365
1492.9312713991658,0.9916703
1492.9521051704708,0.9895648
1492.9729389409733,0.99154705
1492.9937727107533,0.9880548
1493.0146064797302,0.99464226
1493.0354402479832,0.99190086
1493.0562740154296,0.9897808
1493.0771077821503,0.9936678
1493.0979415480613,0.99013996
1493.1187753132467,0.9891191
1493.1396090776195,0.9982958
1493.1604428412645,0.9940627
1493.1812766040966,0.9921672
1493.2021103662003,0.9937518
1493.2229441274883,0.9909972
1493.243777888046,0.9966355
1493.2646116477886,0.9953257
1493.2854454068001,0.9984065
1493.3062791649936,0.9957323
1493.3271129224568,0.99744254
1493.3479466791018,0.9940637
1493.3687804350136,0.99597955
1493.389614190109,0.99562496
1493.4104479444693,0.9979298
1493.4312816980116,0.99583435
1493.45211545082,1.0
1493.4729492028116,0.9983303
1493.4937829540668,0.9957201
1493.5146167045032,0.9962108
1493.5354504542058,0.9922493
1493.5562842030872,0.9924588
1493.5771179512358,0.99625355
1493.5979516985644,0.99263674
1493.6187854451575,0.994272
1493.6396191909319,0.998067
1493.6604529359718,0.99097556
1493.6812866801918,0.9920911
1493.7021204236764,0.99409187
1493.7229541663423,0.993568
1493.7437879082738,0.9930416
1493.7646216493854,0.9905622
1493.7854553897623,0.994679
1493.8062891293205,0.99427825
1493.8271228681447,0.9952397
1493.8479566061483,0.98781085
1493.8687903434193,0.9947739
1493.889624079871,0.99985695
1493.9104578155882,0.99405617
1493.9312915504877,0.98949826
1493.952125284654,0.9905598
1493.9729590180011,0.9892001
1493.9937927506148,0.9931914
1494.0146264824132,0.9990048
1494.0354602134746,0.99032235
1494.0562939437214,0.99523246
1494.0771276732326,0.99370617
1494.097961401929,0.9904572
1494.1187951298928,0.9931135
1494.13962885704,0.993766
1494.1604625834525,0.99358016
1494.1812963090524,0.99582684
1494.2021300339168,0.99978906
1494.2229637579678,1.0008204
1494.2437974812847,0.9984707
1494.2646312037896,0.9969575
1494.2854649255598,0.99739903
1494.3062986465172,0.9935445
1494.3271323667414,0.9997138
1494.3479660861533,0.99609315
1494.3687998048335,1.0010587
1494.3896335227007,0.9939628
1494.410467239835,1.0019351
1494.431300956158,0.9988008
1494.452134671749,0.99507576
1494.47296838653,0.99717915
1494.4938021005778,0.99530655
1494.5146358138152,0.9974499
1494.5354695263209,0.9947673
1494.5563032380173,0.99558073
1494.5771369489817,0.9926298
1494.5979706591359,0.99250317
1494.6188043685595,0.99272746
1494.6396380771744,1.0006275
1494.660471785058,0.9965381
1494.6813054921324,0.9941226
1494.7021391984767,0.99357396
1494.722972904012,0.99507856
1494.7438066088175,0.99689555
1494.7646403128158,0.9947911
1494.7854740160833,0.9926892
1494.827141420273,0.9908162
1494.8479751211962,0.9959513
1494.8688088213898,0.99330103
1494.8896425207759,0.9927365
1494.9104762194333,0.9962829
1494.9313099172855,0.9911409
1494.9521436144073,0.99464095
1494.9729773107222,0.9916093
1494.993811006311,0.99130434
1495.0146447010902,0.9959645
1495.0354783951434,0.9934448
1495.0563120883883,0.99440485
1495.0771457809087,0.99472165
1495.09797947262,0.9912387
1495.1188131636056,0.9931189
1495.1396468537835,0.9938725
1495.1604805432373,0.99619883
1495.1813142318822,0.99435705
1495.2021479198022,0.9932371
1495.2229816069148,1.0003613
1495.2438152933028,0.9964296
1495.264648978883,0.9973657
1495.2854826637397,0.99711055
1495.3063163477884,0.99292505
1495.3271500311125,1.0029678
1495.34798371363,1.0000683
1495.3688173954238,0.9933468
1495.3896510764096,0.9975051
1495.4104847566716,0.9927236
1495.4313184361267,0.994323
1495.4521521148588,0.9944685
1495.472985792783,0.99776053
1495.4938194699835,0.9992174
1495.5146531463772,0.9991926
1495.5354868220481,0.99704945
1495.5563204969105,0.9957645
1495.5771541710512,0.9946812
1495.5979878443845,0.9971023
1495.6188215169936,0.9996012
1495.6396551887967,0.996986
1495.660488859877,0.99578
1495.6813225301496,0.9975824
1495.7021561996987,0.9970048
1495.7229898684416,0.9967551
1495.7438235364616,0.9965446
1495.764657203674,0.99564916
1495.785490870163,0.99336404
1495.8063245358453,0.99724406
1495.827158200805,0.99478537
1495.847991864956,0.9975109
1495.868825528385,0.99800205
1495.8896591910068,0.99454767
1495.9104928529046,0.9933638
1495.9313265139979,1.0008818
1495.952160174364,0.9976465
1495.9729938339253,0.9995437
1495.9938274927606,0.9995674
1496.0146611507919,1.002594
1496.0354948080962,0.9973511
1496.0563284645955,1.0003167
1496.0771621203683,0.9943359
1496.097995775336,0.9977039
1496.118829429578,1.0014832
1496.1396630830138,0.9972986
1496.160496735723,1.0041568
1496.1813303876263,0.99775594
1496.202164038803,0.99632454
1496.2229976891747,0.99667126
1496.2438313388186,1.000837
1496.2646649876565,0.99913174
1496.2854986357668,0.9945442
1496.306332283072,1.0003479
1496.3271659296486,0.9988531
1496.3479995754187,0.99872774
1496.3688332204608,1.0001496
1496.3896668646962,0.9958653
1496.4105005082044,0.9988113
1496.4313341509044,0.99819344
1496.4521677928763,0.99967533
1496.4730014340412,0.9932471
1496.4938350744758,0.99540675
1496.5146687141043,0.99349976
1496.535502353003,0.99618584
1496.5563359910932,1.0029761
1496.577169628454,0.9962519
1496.598003265007,0.9981093
1496.6188369008296,0.99995184
1496.639670535843,1.0004752
1496.6605041701262,1.0033062
1496.6813378036006,0.99904686
1496.7021714363439,0.9956472
1496.7230050682767,1.0038626
1496.743838699479,0.9983617
1496.7646723298715,0.9991318
1496.7855059595306,0.9992627
1496.8063395883808,0.99753964
1496.827173216498,0.99820304
1496.848006843804,0.9960923
1496.868840470377,1.0028031
1496.889674096139,1.0031177
1496.9105077211684,0.995218
1496.9313413453829,0.9976193
1496.9521749688674,0.9997384
1496.973008591535,1.0015275
1496.9938422134712,1.0011928
1497.0146758345911,1.0004799
1497.0355094549786,0.9988035
1497.0563430745506,0.9988556
1497.0771766933885,1.0002817
1497.0980103114518,1.0027581
1497.1188439288203,1.0042999
1497.1396775453281,1.0020279
1497.160511161064,0.9982889
1497.18134477598,0.9996422
1497.2021783901614,0.99925935
1497.223012003523,0.9983846
1497.2438456161503,1.0011973
1497.2646792279563,0.99813575
1497.285512839026,1.003492
1497.3063464492745,1.0012584
1497.3271800587863,1.0051584
1497.348013667477,1.0026122
1497.3688472754293,1.0007472
1497.3896808825584,1.0026687
1497.4105144889495,1.0024999
1497.4313480945166,1.0028439
1497.4521816993458,1.0047873
1497.4730153033495,1.0062635
1497.493848906613,1.0011047
1497.514682509051,1.0029075
1497.5355161107493,1.0003603
1497.5563497116202,0.9979818
1497.5771833117494,1.0006515
1497.5980169110512,1.0028124
1497.6188505096113,1.0033706
1497.6396841073422,0.9997781
1497.6605177043295,1.0021353
1497.6813513004874,1.0000387
1497.7021848959012,1.0001357
1497.723018490484,0.9998122
1497.743852084323,1.0014392
1497.7646856773292,0.99925053
1497.785519269589,0.9973329
1497.806352861016,0.9957928
1497.8271864516971,1.0069208
1497.848020041544,1.0007266
1497.8688536306406,1.0014302
1497.8896872189052,1.0009897
1497.9105208064175,1.0029343
1497.9521879790211,0.9963296
1497.973021564111,0.99965763
1497.9938551484474,1.0028138
1498.0146887319481,0.9953304
1498.0355223146933,0.9990966
1498.0563558965991,0.9999938
